,timestamp,tweet_text,all_hashtags,retweet_count,tweet_created_at, username,followers_count,target
143,5/3/2021 9:43,You think it’s easy for me to see you with somebody else ?,[],0,5/3/2021 9:43,AAl_q9,72,negative
148,5/3/2021 9:51,@renewedrami Aal aghlab. As usual they’ll confirm abl byawmen🤣🤣🤣 bas eno anw we have online exams gher l finals,[],0,5/3/2021 9:51,leyyy2118,1595,neutral
153,5/3/2021 10:00,$penn $mara $aal $tsla $opti $spy $srne $coin $sunw $dkng $aapl $hexo $vxrt $acb $fb $amc $gme  $fsr $cciv $msft $nio $snap $fubo $wkhs $sndl $mvis $pltr $ocgn $amd $nakd  ALERTED $DPW at $1.6 RAN TO $5 (210% GAIN)    DAILY ALERTS  $15 ONE TIME FEE  BEAT THAT 👇👇 🚨LINK IN BIO🚨,[],2,5/3/2021 10:00,Right__Stocks,988,neutral
154,5/3/2021 10:00,"@Kookiecake4 Ummmmmm they do know Shownu is almost 30 right ( &amp; the ""baby"" over 25) &amp; yes they have songs like Monsta truck, misbehave, (basicly the whole AAL album &amp; God Damn....... Etc",[],0,5/3/2021 10:00,svt_is_so_rood,138,neutral
152,5/3/2021 10:00,Active options Friday - $AAPL $NIO $TSLA $AMZN $TWTR $AMD $FB $MSFT $MARA $BAC $MVIS $F $SNAP $PLTR $NOK $BA $X $BABA $AAL $AMC $LVS $C $GILD $NFLX $TLRY $INTC $DKNG $WFC $RIOT $XOM $CLF $SQ $UBER $VXRT $VIAC $GE $T $PINS $PUG $BIDU $WKHS  https://t.co/2zs8J6Tl9C,[],2,5/3/2021 10:00,TheBurdetteLawF,12092,neutral
167,5/3/2021 10:20,$penn $mara $aal $tsla $opti $spy $srne $coin $sunw $dkng $aapl $hexo $ibio $vxrt $acb $fb $amc $gme  $fsr $cciv $msft $mvis $snap $fubo $wkhs $sndl $pltr $ocgn $amd $nakd  ALERTED $NIO at $6.1 RAN TO $35 (480% GAIN)  DAILY ALERTS  $15 ONE TIME FEE  BEAT THAT 👇👇 🚨LINK IN BIO🚨,[],2,5/3/2021 10:20,Right__Stocks,988,neutral
168,5/3/2021 10:21,@uranonfren Amar mone hoy na ei subaltern aal bal jinish gulo kono issue chilo except on English media and some online platforms. The truth is Hindus didn't unite to vote for their safe future in Bengal. 57-59% is not enough.,[],0,5/3/2021 10:21,shardula23,1705,neutral
170,5/3/2021 10:23,🔁  Here’s a song for you… WAVE by Highlight https://t.co/L9hwYb5zeh,[],0,5/3/2021 10:23,hi__aal,68,neutral
174,5/3/2021 10:27,"@TAEYONGZEUS Hai aal, how was ur day?",[],0,5/3/2021 10:27,haleytoheaven,887,neutral
179,5/3/2021 10:37,@6mibt nah i jus watched the stream he dumb aal ☠️☠️☠️,[],0,5/3/2021 10:37,yuhdremo,12015,neutral
180,5/3/2021 10:38,"Since I'll make the letter not only for one or two peeps, I decided to put them all on this thread. It's just one simple letter but contains lots of love from Aal. ♥︎",[],0,5/3/2021 10:38,yuynaitzy,185,neutral
181,5/3/2021 10:42,"@KhoDysseus @Hum442 @Aal_Moalim @Tha__Punisher It is the family's money, correct, but guess who is the head of the family and ultimately in control of the money?",[],0,5/3/2021 10:42,niggalini6,1079,neutral
184,5/3/2021 10:47,@JivrajAal @suresh_morila87 @jivrajaal_FC @jivrajaalsena @i_jivraj @Nagjirabaribjp @suresh_aal @VISHESHDESAI1 @JivrajaalOffice Happy Birthday sir,[],1,5/3/2021 10:47,423Gaman,3,positive
183,5/3/2021 10:47,@suresh_morila87 @JivrajAal @jivrajaal_FC @jivrajaalsena @i_jivraj @Nagjirabaribjp @suresh_aal @VISHESHDESAI1 @JivrajaalOffice Happy Birthday,[],1,5/3/2021 10:47,423Gaman,3,positive
186,5/3/2021 10:51,"oh. with the number participating, it'll be kind of like aal promotions, then, huh...",[],0,5/3/2021 10:51,hairmetal,1703,neutral
187,5/3/2021 10:56,Rich coming out of a guy who is literally a slave of Aal e Bhutto! I have seen son of Naveed Qamar slapping an officer for not reporting to him about flood relief activities and coming to me! YOU GUYS ARE A JOKE https://t.co/mWrnz33XqF,[],3,5/3/2021 10:56,GuardianZ_10,5103,neutral
190,5/3/2021 11:00,"🕔 The deadline for our Call 2021 is 5pm CET on 21 May 2021!   📆 Only 18 days to go, still plenty of time to submit your project idea.  Good luck to everyone writing their proposals. We can't wait to read them all! #research #ageing   🔗 https://t.co/ZfTaRvjGdr https://t.co/57h89ddzoX","['research', 'ageing']",1,5/3/2021 11:00,AALProgramme,3800,neutral
191,5/3/2021 11:05,This is total madness. You mfers were delaying the exams since Jan. Ipo vanthu aal pathala recruit panrenu usura vaangureenga.  Doctors in our GH are on the verge of exhaustion.,[],0,5/3/2021 11:05,xGreenwood11,42,neutral
192,5/3/2021 11:07,"One year ago, Buffett dumped his airlines while TD Ameritrade customers soaked them up.  $AAL $DAL $UAL $LUV  https://t.co/ZSsaKEDJY5",[],0,5/3/2021 11:07,roberee,1055,neutral
193,5/3/2021 11:11,Atleast govt should be transparent on recruiting medical professionals. Nee recruit panra aal enga join panraanga ne theriya maatenguthu.,[],0,5/3/2021 11:11,xGreenwood11,42,neutral
196,5/3/2021 11:15,"last year we had the first comeback with 6 members this time they’ll be 5 as for aal promotions monbebe please understand that we have to support them even more, streaming and voting and doing whatever we can  they deserve all our support and now more than ever  do it for shownu",[],24,5/3/2021 11:15,heonsbee,1031,positive
197,5/3/2021 11:17,@narendramodi Aal siphai of b j p with you sir,[],0,5/3/2021 11:17,KKPatha66662868,0,neutral
198,5/3/2021 11:19,"[Master of Education (MEd)  – Admissions are now open]  Online application: https://t.co/ByjF97gzaT  Application Deadline: Extended to 12:00 noon, May 17, 2021 (Monday) for particular specialisms  Enquiries: Email: medu@hku.hk  https://t.co/uSo8GiAOKv https://t.co/kOW0rPQc7R",[],0,5/3/2021 11:19,hku_education,646,neutral
199,5/3/2021 11:19,We find the 100% runners BEFORE the crowd! Chatroom:  $ACB $NVAX $MRNA $CGC $DKNG $AAL $SAVE $UAL $WORK $PLAY $DOCU $PD $GPS $MDB $ZM $GOOG $GE $BYND $SNAP $SPCE $NFLX $UBER $SHOP $TLRY  $TSLA $GILD $AMD $GE $W $FREE $SHLL $ROKU https://t.co/0NPkvAbe1i,[],1,5/3/2021 11:19,Jackmor98705125,195,neutral
200,5/3/2021 11:20,$penn $mara $aal $tsla $opti $spy $srne $coin $sunw $dkng $aapl $hexo $ibio $vxrt $acb $fb $amc $gme $fsr $cciv $msft $mvis $snap  $fubo $wkhs $sndl $pltr $ocgn $amd $nakd  ALERTED $NIO at $6.1 RAN TO $35 (480% GAIN)  DAILY ALERTS  $15 ONE TIME FEE  BEAT THAT 👇👇 🚨LINK IN BIO🚨,[],2,5/3/2021 11:20,Right__Stocks,988,neutral
201,5/3/2021 11:21,Helped me get my account green all time. Thanks  ❤️👏📈☝️ $SPY $ES $ADBE $AMZN $MSFT $AAL $ROKU $BABA $CRM $GOOGL $FB $INTU $MRVL $ATVI $TWTR $ORCL $LRCX $AMD $NVDA $TSLA $NDX  $ROKU $BA $COST $MCD $WMT $FB $VIX $ES $DKNG $ADBE $TONJ https://t.co/O27dXRpzlJ,[],1,5/3/2021 11:21,Jackmor98705125,195,positive
202,5/3/2021 11:37,Some airlines 👀 worth a look $AAL $LUV $UAL   Cruise lines $CCL $RCL   All trading near daily 50sma,[],0,5/3/2021 11:37,MBP_Charts,442,positive
204,5/3/2021 11:40,$penn $mara $aal $tsla $opti $spy $srne $coin $sunw  $dkng $aapl $hexo $ibio $vxrt  $acb $fb $amc $gme $fsr $cciv $msft $nio $snap $fubo $wkhs $sndl $pltr $ocgn $amd $nakd  WE ALERTED $MVIS at $10 RAN TO $25 (150% GAIN)  DAILY ALERTS  $15 ONE TIME!  BEAT THAT 👇👇 🚨LINK IN BIO🚨,[],1,5/3/2021 11:40,Right__Stocks,988,neutral
206,5/3/2021 11:46,I have positions in $AAL $RCL #CCL 💰 https://t.co/AResT9ld81,['CCL'],0,5/3/2021 11:46,CGillis2021,5,positive
208,5/3/2021 11:54,@reshape Cod mobile,[],0,5/3/2021 11:54,abdul__aal,959,neutral
209,5/3/2021 11:58,PENETRATION!!!!😂 https://t.co/JNr86RtHmW,[],0,5/3/2021 11:58,Maan_aal,130,neutral
210,5/3/2021 11:59,$IONS $NCHL $AAL $FLWS $SKLZ $CX looking good this morning,[],0,5/3/2021 11:59,JuanAvilesARG,17,positive
211,5/3/2021 12:00,$fsr $penn $mara $aal $tsla $opti $spy $srne $coin $sunw $dkng $aapl $hexo $mvis $twtr $fb $amc $gme $cciv $msft $nio $snap $fubo $wkhs $sndl $pltr $ocgn $amd $nakd  WE ALERTED $NOVN at $.50 RAN TO $1.30 (160% GAIN)   DAILY ALERTS  $15 ONE TIME FEE  BEAT THAT 👇👇 🚨LINK IN BIO🚨,[],1,5/3/2021 12:00,Right__Stocks,988,neutral
213,5/3/2021 12:00,"@LynneStactia o/hh, You mean the already ""booming economy"". maybe they got a miracle boost fromthe miracle man (AAL)  you wonder which world these are from https://t.co/LdAWG4BRsm",[],1,5/3/2021 12:00,Swiss0000,2839,positive
212,5/3/2021 12:00,Most active on Friday - $OCGN $NIO $AAPL $VXRT $TWTR $MVIS $F $NOK $PIXY $ISNS $BTX $AMD $TSLA $GE $UXIN $AHT $BAC $AAL $ITUB $PBR $X $MARA $PLUG $VALE $SNAP $PFE $PLTR $FB $AMC $MSFT $XOM $GGB $RHE $T $WFC $C $MARK $ADVM $CLOV $CCL $BBD $INTC $TLRY $FCEL https://t.co/xCX9hrJXJA,[],1,5/3/2021 12:00,TheBurdetteLawF,12092,positive
214,5/3/2021 12:04,@nvmnvmnvm111 @Skibutpriv No it's okay💔,[],0,5/3/2021 12:04,abdul__aal,959,negative
216,5/3/2021 12:04,@woonieshady As we should,[],0,5/3/2021 12:04,abdul__aal,959,neutral
218,5/3/2021 12:06,PreMarket Prep Is Now Live! Go To #bz-premarket-prep Room In Benzinga Pro's Chat Tool Or Go To:  https://t.co/rwxiF4LxbA  @Benzinga $SPY $QQQ $DIA $IWM $AAPL $PYPL $MSFT $AMZN $GOOG $FB $NIO $TSLA $WKHS $BAC $JPM $GS $CITI $DKNG $PENN $WYNN $LVS $FL $DIS $GNUS $ROKU $NFLX $AAL $F,['bz'],1,5/3/2021 12:06,ZoltanSuranyi1,242,neutral
220,5/3/2021 12:08,@woonieshady It's fine https://t.co/QWN6MR5yDk,[],0,5/3/2021 12:08,abdul__aal,959,neutral
221,5/3/2021 12:12,",Started with $5k, down to $1k……, back up to $152k.. Big thanks to this community.,.,.,…:- https://t.co/tLz3K76Gvn  $aal $t $msft $intc $xom $g $pbr $tqqq $xle https://t.co/bh3vx4JKWD",[],0,5/3/2021 12:12,AbigailLayh,0,positive
222,5/3/2021 12:14,@sckuarezound Also https://t.co/GrByYPBuLc,[],0,5/3/2021 12:14,Aal_Moalim,1001,neutral
223,5/3/2021 12:15,OT BEGINS WITH A WHISPER IN MY EAR I THINK ITS TIME SUDDENLY YPURE ALL WE HELD WAS ON GHE LINE AS YOUR HEART MEASURE AND MOYTNAISN AND CLIED UOURE OK YOURE OK YOURE OK  AMMEENMM WE WERE CHANGED IN AMS INSTANE WE BECAME SO MYHC MOREEE AAL,[],0,5/3/2021 12:15,zonho_,23,neutral
224,5/3/2021 12:16,@AMucaadh Yh quite sad,[],0,5/3/2021 12:16,Aal_Moalim,1001,neutral
225,5/3/2021 12:17,"American Airlines A319-100 N9026C departing Eagle County Regional Airport, CO KEGE December 2020. The first flight of the day can sometimes be in man-made clouds from the gypsum plant at the end of the runway which settles in the valley.  #avgeek #americanairlines  #a319 #kege https://t.co/ntsdpd84xJ","['avgeek', 'americanairlines', 'a319', 'kege']",1,5/3/2021 12:17,skippyscage,1155,positive
226,5/3/2021 12:20,$penn $mara $aal $tsla $opti $spy $srne $acb $coin $fsr $dkng $aapl $hexo $mvis $vxrt $amd $fb $amc $pltr $sunw $cciv $nakd $ocgn $msft $nio $fubo $wkhs $snap $gme $sndl  WE ALERTED $BLNK at $6 RAN TO $30 (400% GAIN)  DAILY ALERTS  $15 ONE TIME FEE  BEAT THAT 👇👇 🚨LINK IN BIO🚨,[],1,5/3/2021 12:20,Right__Stocks,988,neutral
227,5/3/2021 12:21,April Marijuana Stocks - Was $TLRY - $CGC - or $SHWZ best chart?  $NCLH $TSCO $LVNTA $ILMN $SHPG $COST $MNST $MDLZ $WFM $SBAC  $VOD $TMUS $FAST $DAL $AAL  $HSIC  $LUV $UAL $JBLU $SKYW $SAVE $CELG $BIIB $ANAB $EXAS $OSTK $ROKU $EIGR $FLXN $LJPC $PLXP $RARX $SYRS $IBB $XBI https://t.co/t8cYo7YP0Q,[],0,5/3/2021 12:21,Drugdoctor2014,1341,positive
228,5/3/2021 12:22,"With 1.6M in Travel TSA data coming in at all time Travel High, Continuing to watch $AAL this Morning https://t.co/xEsrh3783b",[],0,5/3/2021 12:22,Nedrickhm,757,positive
230,5/3/2021 12:31,"• Take what was said to the extreme &amp; paint it as the norm  • Fall into Kufr   All to avoid their responsibilities as a wife to her husband   As I said in another tweet, these modern women want the authority of a man, the privileges of a woman &amp; the responsibility of a child https://t.co/mVt0A5TXL5",[],5,5/3/2021 12:31,Aal_Moalim,1001,neutral
237,5/3/2021 12:40,$penn $mara $aal $tsla $opti $spy $srne $coin $sunw $dkng $aapl $hexo $vxrt $acb  $fb $amc $gme $fsr $cciv $msft $nio $snap $fubo $wkhs $sndl $mvis $pltr $ocgn $amd $nakd  ALERTED $DPW at $1.6 RAN TO $5 (210% GAIN)    DAILY ALERTS  $15 ONE TIME FEE  BEAT THAT 👇👇 🚨LINK IN BIO🚨,[],1,5/3/2021 12:40,Right__Stocks,988,neutral
238,5/3/2021 12:40,my design instructor asking us about the making of wara2 eenab and annotating aal screen to show how he placed them bel tanjra i cant breathe,[],0,5/3/2021 12:40,ragingtauro,159,negative
240,5/3/2021 12:46,COVID-19 infections rise among unvaccinated youth in the U.S. | Watch News Videos Online https://t.co/FLVI4uznDO $AMC $DAL $UAL $CZR $TSLA $NKLA $DKNG $PENN $AAL #DAX30 #CAC40 #AEX $CCIV $SPY $MGM $GME $BYD $QQQ $NDX $VIX $CPA $ALK $FSR $NCLH $RCL $CCL,"['DAX30', 'CAC40', 'AEX']",1,5/3/2021 12:46,Marketupdater,2122,negative
242,5/3/2021 12:47,@VadealFN Done,[],0,5/3/2021 12:47,aal_yt,2,neutral
241,5/3/2021 12:47,"A few of American Airlines' finest Certified Training Instructors, at your service..  • • •  #flightattendant #training  #Instructor  #americanairlines #aastews @americanair @aastews #service @ Dallas, Texas https://t.co/rwqQ1QOdaZ","['flightattendant', 'training', 'Instructor', 'americanairlines', 'aastews', 'service']",0,5/3/2021 12:47,DarrenRadcliff,561,positive
244,5/3/2021 12:48,"$AMZN $AMC $GEVO $TSLA $SPY  $AAPL $AMD  $AAL $QQQ  Best room on the net! I made $7K to $152K, Join this room today https://t.co/NR5BIiIj4Y https://t.co/6AekcFSI0o",[],1,5/3/2021 12:48,Stanley68319642,0,positive
243,5/3/2021 12:48,Seriously ill COVID-19 patients in Japan hit record as infections continue to surge | The Japan Times https://t.co/yKXdipHpxy  $AMC $DAL $UAL $CZR $TSLA $NKLA $DKNG $PENN $AAL #DAX30 #CAC40 #AEX $CCIV $SPY $MGM $GME $BYD $QQQ $NDX $VIX $CPA $ALK $FSR $NCLH $RCL $CCL,"['DAX30', 'CAC40', 'AEX']",1,5/3/2021 12:48,Marketupdater,2122,negative
247,5/3/2021 12:49,#NEWS  ✅Quanta Inc. $QNTA 💰  ✅Medolife Rx Breaks Ground on Lab Facility and Increases Scorpion Count at First-of-Its-Kind Reservation in the Dominican Republic  https://t.co/1mURzZcA8l  @StockAlert8  $penn $mara $aal $tsla $opti $spy $srne $coin $sunw $dkng $aapl $hexo $vxrt https://t.co/2YeakWJNpJ,['NEWS'],1,5/3/2021 12:49,stocks_trends,19,positive
246,5/3/2021 12:49,I love him SO much y'aal don't understand I just wanna hug him so bad 🥺🥺🥺 https://t.co/pK4st5excB,[],0,5/3/2021 12:49,oblvxious,182,negative
248,5/3/2021 12:51,"@AmericanAir is the WORST airline of all. Only on #AmericanAirlines can you book, and pay for, a direct flight and they change it to connecting with no explanation. @NBCNews should run a bait and switch #Scam story on this airline. Selling bogus seats to already weary flyers #WTF","['AmericanAirlines', 'Scam', 'WTF']",0,5/3/2021 12:51,FelixCMercado,9158,negative
250,5/3/2021 12:56,Largest CALL OI increases $LVS $UBER $SNAP $GSX $GILD $AAL $AMD $BGCP $SIRI $WOOF $IQ $COMM $SPESG $QS $C $AAPL $SAVE $F $BILI $AMC https://t.co/qaa1wnMB7f #trading #learntotrade #stocks #stockstowatch #daytrading #scalptrading #optionstrading #swingtrading #fintwit #StockMarket https://t.co/H6xJB4p3BQ,"['trading', 'learntotrade', 'stocks', 'stockstowatch', 'daytrading', 'scalptrading', 'optionstrading', 'swingtrading', 'fintwit', 'StockMarket']",0,5/3/2021 12:56,TeresaTrades,8200,positive
251,5/3/2021 12:56,"Starting with $10k,.. down to $5k,.. back up to $152k. Big thanks to this community; https://t.co/I6WQG88IyW  $AMZN $AMC $GEVO $TSLA  $SPY $AAPL $AMD  $AAL $QQQ https://t.co/mQ3QS8L7LK",[],1,5/3/2021 12:56,LionelS74132144,1,positive
252,5/3/2021 12:57,"I'm sad because this time, Shownu, has to be in hiatus and only 5 members will be on the cb. Honestly, I do deeply care about Shownu and I want him to rest as much as he can. But, it also reminded me in the same situations when JH had hiatus and only 5 members were in AAL cb.....",[],0,5/3/2021 12:57,Smokeybumblebee,219,negative
256,5/3/2021 12:59,"$AAL, $VIAC, &amp; $SNAP. Make some noise this week.",[],0,5/3/2021 12:59,jaybaebae10,600,positive
258,5/3/2021 13:04,@akhiljimmy3301 @Githin66673224 @narendramodi @vijayanpinarayi 😂 njnallla innocent paranjath ee situation suit aay athrullu... saacharitha paranj nadaannoo.. pinarayi de athrrem political murders cheytha aal mamta maathram aan.. pnne uddhav um.. i have already accepted. I m not a sickular.,[],0,5/3/2021 13:04,Unlearner11,19,neutral
260,5/3/2021 13:05,$GDMK  ✅Re-Brands Company Website  ✅Our Goal Will Be to Carry 500 Different SKUs of International and Domestic Snacks  https://t.co/Krc3YzcORH   @ipoguy $penn $mara $aal $tsla $opti $spy $srne $acb $coin $fsr $dkng $aapl $hexo $mvis $vxrt $amd $fb $amc https://t.co/S6Twje7iYE,[],1,5/3/2021 13:05,stocksman12,32,positive
261,5/3/2021 13:05,Large caps up today $AAPL $AAL $MARA $SOS $NIO $TWTR $AMD $DKNG https://t.co/wCShzYkFtb https://t.co/g98704b46P,[],1,5/3/2021 13:05,TrendLineMaster,3239,positive
262,5/3/2021 13:06,",,Most profitable trading community, If you really want to make huge profits on trading then check out;, https://t.co/3wFzV48im9  $AMZN $AMC $GEVO $TSLA  $SPY $AAPL $AMD  $AAL $QQQ https://t.co/Ugn8L2GZyq",[],1,5/3/2021 13:06,Vanessa39329793,0,positive
266,5/3/2021 13:14,"RFP: African American Legacy (AAL) at @ChiTrust is now accepting applications for the 2021 grant cycle to Black community organizations working in alignment w/ the following focus areas: education, mental health, activism, arts, and job creation.  Details: https://t.co/Zj99g2p0oY",[],0,5/3/2021 13:14,ChiTrust,13496,positive
267,5/3/2021 13:15,@Gail_friendzzz Always here for ralphgail aal  MONananatiling RALPHGAIL,[],3,5/3/2021 13:15,JDeeMure,224,neutral
269,5/3/2021 13:18,$AAL New top pick ready to break out with 200% upside: https://t.co/dNbGDTraAw,[],0,5/3/2021 13:18,Traderofstocks1,851,positive
271,5/3/2021 13:20,$penn $mara $aal $tsla $opti $spy $srne  $coin $sunw $dkng $aapl $hexo $btx $vxrt $acb $fb $amc $gme $fsr $cciv $msft $mvis $snap $fubo $wkhs $sndl $pltr $ocgn $amd $nakd  ALERTED $NIO at $6.1 RAN TO $35 (480% GAIN)  DAILY ALERTS  $15 ONE TIME FEE  BEAT THAT 👇👇 🚨LINK IN BIO🚨,[],0,5/3/2021 13:20,Right__Stocks,988,positive
273,5/3/2021 13:21,@pixieskygoddess Absolutely. Especially since @AmericanAir #Americanairlines no longer keeps a seat open. Planes are being packed again. I saw many people wearing idiotic mess masks that do nothing. Get them off the plane.,['Americanairlines'],2,5/3/2021 13:21,Jerrymcnutt,4022,negative
274,5/3/2021 13:21,Most active stocks in today's pre-market trading  Apple $AAPL Ford $F American $AAL Twitter $TWTR Carnival $CCL $COTY Tesla $TSLA General Electric $GE $AMD Pfizer $PFE Norwegian $NCLH $BAC Moderna $MRNA Microsoft $MSFT Maxim $MXIM Amcor $AMCR Sarepta $SRPT Vertex $VRTX $OUT,[],1,5/3/2021 13:21,StockMKTNewz,85435,positive
276,5/3/2021 13:24,"$68K+ profits in the last 15 days, If you really want to make huge profits on trading then check out;,,, https://t.co/MKegORA9li  $AMZN $AMC $GEVO $TSLA $SPY  $AAPL $AMD  $AAL $QQQ https://t.co/SlYkJMokaU",[],0,5/3/2021 13:24,BlakeHu95769733,0,positive
278,5/3/2021 13:28,Congratulations @mohi3768 Machi 👏 8K Friends before 1Yr Twitter anniversary.  Keep Rocking Machi🤝.  Once Upon a Time Comment king.. 👑 9 Sec la 3 comment Panna ore Aal.💪  #50DaysForThalapathyBDAY #Master @actorvijay #Thalapathy65,"['50DaysForThalapathyBDAY', 'Master', 'Thalapathy65']",3,5/3/2021 13:28,Velu_me,5678,positive
279,5/3/2021 13:28,Free Stock trading discord:    $GE $AAL $DIS $DAL $AAPL $MSFT $TSLA $SQ $NFLX $SPY $ROKU $SPCE $INO $UVXY $VXX $SPY https://t.co/l1iNjTrZyp,[],0,5/3/2021 13:28,Vijayraj11122,555,positive
281,5/3/2021 13:29,"Everyone, Come join an amazing group of traders   $EYEN $SAVE $GLD $NIO $AAL $CCL $OXY $JNUG $INO $FSR $LYFT $SLV $MESO $UBER $GLD $WORK $SPG $WKHS $STNG $GOLD $RCL $SPY $NET $AAPL $NKLA $MGM $MCRB $WYNN $LCA $CGC $OMER $MELI $BTC.X $OXY $HCAC $INO $KODK https://t.co/xoLcRmO7h5",[],0,5/3/2021 13:29,Vijayraj11122,555,positive
280,5/3/2021 13:29,"Hi everyone, Make big profits with us   $STNG $GOLD $RCL $AAL $NET $AAPL $NKLA $MGM $MCRB $WYNN $LCA $CGC $OMER $MELI $BTC.X $OXY $HCAC $INO $KODK  $SLV $OMER $PENN $SOHU $OSTK $FENC $SPY $QQQ $AMZN $NVDA $BA $TSLA $BABA $AMD $AAPL $NFLX $TWTR $AAL https://t.co/bk3hWNf0th",[],0,5/3/2021 13:29,Vijayraj11122,555,positive
283,5/3/2021 13:30,Alerts given Trading Chat on Discord!👇  JOIN for FREE ✅  💸 $SPY $QQQ $AMZN $NVDA $BA $TSLA $BABA $AMD $AAPL $NFLX $TWTR $AAL $FB $USO $DAL $UBER $UGAZ $DIS $ROKU $CRON $DJIA $SPX $TLRY $SQ $MSFT $GLD $SRNE $SPCE $XOM $NIO $BYND $AMRN $UBER $BRKB $JWN https://t.co/W2bcz0Wkyq,[],0,5/3/2021 13:30,Vijayraj11122,555,positive
282,5/3/2021 13:30,"Nice Print for $AAL - Amount: $9,261,257.00 - to learn more, SIGNUP https://t.co/JWvlYbdLod or get a training https://t.co/0L4k6hWHAt!",[],0,5/3/2021 13:30,TradeWithAlerts,31200,positive
285,5/3/2021 13:34,"Thinking about trading options or stock in Nio, BioNTech, Marathon Digital, Apple, or American Airlines? $AAL $AAPL $BNTX $MARA $NIO https://t.co/mBAWfriuev",[],0,5/3/2021 13:34,newsfilterio,13439,positive
287,5/3/2021 13:36,Travel industry bouncing back with many planning summer vacations https://t.co/mTX0gUbLTt $AMC $DAL $UAL $CZR $TSLA $NKLA $DKNG $PENN $AAL #DAX30 #CAC40 #AEX $CCIV $JBLU $SPY $MGM $GME $BYD $QQQ $NDX $VIX $CPA $ALK $FSR $SAVE,"['DAX30', 'CAC40', 'AEX']",0,5/3/2021 13:36,Marketupdater,2122,positive
288,5/3/2021 13:38,New wave of COVID-19 infection threatens Costa Rica tourist revival | Reuters https://t.co/pddd9ABqlc $AMC $CZR $TSLA $NKLA $DKNG $PENN $AAL #DAX30 #CAC40 #AEX $CCIV  $SPY $MGM $GME $BYD $QQQ $NDX $VIX $CPA $ALK $FSR $RCL $CCL $NCLH,"['DAX30', 'CAC40', 'AEX']",0,5/3/2021 13:38,Marketupdater,2122,negative
289,5/3/2021 13:40,$penn $mara $aal $tsla $opti $spy $srne $coin $sunw  $dkng $aapl $hexo $btx $vxrt $acb $fb  $amc $gme $fsr $cciv $msft $nio $snap $fubo $wkhs $sndl $pltr $ocgn $amd $nakd  WE ALERTED $MVIS at $10 RAN TO $25 (150% GAIN)  DAILY ALERTS  $15 ONE TIME!  BEAT THAT 👇👇 🚨LINK IN BIO🚨,[],1,5/3/2021 13:40,Right__Stocks,988,positive
294,5/3/2021 13:45,"✅ https://t.co/FdKTQdTQQT  ✅$SNWR  ✅@Sanwire_corp   ✅Intercept Music, a Sanwire Subsidiary, Announces Streaming Milestone and Corporate Update  https://t.co/rLZJijzbGe  @jctb1 $ACB $NVAX $MRNA $CGC $DKNG $AAL $SAVE $UAL $WORK $PLAY $DOCU $PD https://t.co/xxET5d4tY8",[],1,5/3/2021 13:45,stocksman12,32,positive
293,5/3/2021 13:45,Tourism in Antigua and Barbuda causing worrying surge in Covid-19 numbers | The Star https://t.co/6dEyqIwCyj $AMC $DAL $UAL $CZR $TSLA $NKLA $DKNG $PENN $AAL #DAX30 #CAC40 #AEX $CCIV $JBLU $SPY $MGM $GME $BYD $QQQ $NDX $VIX $CPA $ALK $FSR $NCLH $RCL $CCL,"['DAX30', 'CAC40', 'AEX']",1,5/3/2021 13:45,Marketupdater,2122,positive
292,5/3/2021 13:45,Turkey under full lockdown to curb pandemic - Global Times https://t.co/nQp0IKKkI9 $AMC $DAL $UAL $CZR $TSLA $NKLA $DKNG $PENN $AAL #DAX30 #CAC40 #AEX $CCIV $JBLU $SPY $MGM $GME $BYD $QQQ $NDX $VIX $CPA $ALK $FSR $CCL $NCLH $RCL,"['DAX30', 'CAC40', 'AEX']",1,5/3/2021 13:45,Marketupdater,2122,positive
296,5/3/2021 13:46,$AZUL starting long position today. $40+ pre-pandemic. $AAL $LUV $UAL $SAVE $JBLU $ALK,[],0,5/3/2021 13:46,404East,23,positive
295,5/3/2021 13:46,"They get the coarse texture after boiling the yarns over and over again for a month.   Natural colors - maroon &amp; coffee brown, procured from a 'aal' tree, is added.    After a tedious process of rubbing yarns with colors, &amp; natural substances like cowdung, they boil it for days.",[],1,5/3/2021 13:46,gilehrio,198,neutral
298,5/3/2021 13:48,US demand for travel to Greece is high for summer 2021 - Greek City Times https://t.co/nRNmpj9IDw $AMC $DAL $UAL $CZR $TSLA $NKLA $DKNG $PENN $AAL #DAX30 #CAC40 #AEX $CCIV $JBLU $SPY $MGM $GME $BYD $QQQ $NDX $VIX $CPA $ALK $FSR $SAVE,"['DAX30', 'CAC40', 'AEX']",1,5/3/2021 13:48,Marketupdater,2122,positive
300,5/3/2021 13:49,"@SinghNavdeep @RaveenKr Aal is bhel! Data can be made to look good, but facts can never be dressed up to look nice. Let's record how many people died due to lack of oxygen, or outside a hospital begging for a bed.",[],1,5/3/2021 13:49,jsn4x4,1417,negative
299,5/3/2021 13:49,Long $AAL here,[],0,5/3/2021 13:49,kman3434,1166,positive
